trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
735,False,"{'a': 0.18, 'e': 0.053077615143599134}",20,15,8.089175409449727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.18, 'e': 0.05286572873835037}",25,11,25.46527182323661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.18, 'e': 0.05265468818588921}",20,13,16.341530562171744,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.18, 'e': 0.05244449010956234}",25,18,9.611662568503588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.18, 'e': 0.05223513114619603}",35,25,19.09711348387142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.18, 'e': 0.052026607946042414}",35,16,30.939504061032192,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.18, 'e': 0.05181891717272583}",30,18,24.826892606387112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.18, 'e': 0.05161205550318949}",20,0,31.14980341194116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
743,False,"{'a': 0.18, 'e': 0.051406019627642255}",20,9,17.9981342531933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.18, 'e': 0.05120080624950572}",30,10,36.10389700528862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.18, 'e': 0.050996412085361466}",20,10,8.065436938147776,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
746,False,"{'a': 0.18, 'e': 0.0507928338648985}",20,0,21.03095105273273,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
747,False,"{'a': 0.18, 'e': 0.05059006833086096}",20,16,6.981372959918646,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.18, 'e': 0.05038811223899596}",20,6,24.473352594758484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.18, 'e': 0.050186962358001734}",20,0,17.587161561640706,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
750,False,"{'a': 0.18, 'e': 0.049986615469475894}",25,14,20.567708170780243,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,12.551696714828518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,27.443329674878417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,31.587256068954805,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,24.75349358517959,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,12.807574943655235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,15.414313338562911,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,21.424981461046585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,39.816845721948205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,15,35.67527977832699,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,32.465005049260036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
